category,supercategory,n,zs_mask_iou,lora_mask_iou,delta_mask_iou,zs_box_iou,lora_box_iou,delta_box_iou,lora_det_rate,lora_wins,zs_wins,ties
neckline,garment parts,141,0.16862266189718292,0.294843373315089,0.1262207114179062,0.5183613062241769,0.7428421218291665,0.22448081560498961,0.9929078014184397,117,23,1
"bag, wallet",others,10,0.7382728448154781,0.8293315838785208,0.09105873906304265,0.7569280922412872,0.829781448841095,0.07285335659980774,0.9,4,4,2
coat,wholebody,20,0.906331037010814,0.9372189945059463,0.03088795749513209,0.962543985247612,0.9665260553359986,0.003982070088386536,1.0,11,9,0
"top, t-shirt, sweatshirt",upperbody,132,0.8596492396995544,0.8817581673411544,0.0221089276415998,0.8864573146442346,0.9116004330924514,0.025143118448216806,1.0,72,59,1
collar,garment parts,14,0.4545531820600197,0.46100184032688085,0.006448658266861061,0.6567686963826418,0.7346073367765972,0.07783864039395537,1.0,11,3,0
pants,lowerbody,43,0.9449806669816571,0.9478532523542283,0.002872585372571551,0.9447522038637206,0.9569383998249852,0.012186195961264678,1.0,28,15,0
hat,head,30,0.8788966070721689,0.8793068464555901,0.0004102393834211774,0.9599856972694397,0.9630962769190471,0.0031105796496073406,1.0,14,11,5
skirt,lowerbody,27,0.9467616245120787,0.9464356674191026,-0.00032595709297639013,0.963115601627915,0.9680343491059763,0.004918747478061252,1.0,15,10,2
jumpsuit,wholebody,10,0.9135986750458466,0.9131812636582228,-0.00041741138762352303,0.9212740957736969,0.9289766907691955,0.007702594995498658,1.0,5,5,0
glasses,head,41,0.765372926446687,0.764389555217457,-0.000983371229230006,0.8490960772444562,0.8445329124607691,-0.004563164783687126,1.0,22,17,2
dress,wholebody,242,0.9188305126641614,0.91710402974501,-0.0017264829191507489,0.9487085689690488,0.9505117701228,0.0018032011537512471,1.0,120,115,7
"headband, head covering, hair accessory",head,25,0.7139320090106339,0.7068217744732286,-0.007110234537405316,0.8096509660338052,0.8197471295110881,0.010096163477282972,1.0,12,13,0
shorts,lowerbody,23,0.9181508510427298,0.9071297149082669,-0.011021136134463176,0.9318292270536008,0.9297084562156511,-0.00212077083794967,1.0,11,12,0
shoe,legs and feet,187,0.7518694147307861,0.7406807389200251,-0.01118867581076031,0.8831417101160199,0.8861267282328703,0.002985018116850306,0.983957219251337,94,77,16
sleeve,garment parts,79,0.8073775754531816,0.7701791136438901,-0.037198461809291775,0.881685117000266,0.8511853832987291,-0.030499733701536927,0.9873417721518988,40,39,0
jacket,upperbody,25,0.9003660996704886,0.8463048801466652,-0.05406121952382346,0.959933431148529,0.8967370307445526,-0.06319640040397644,0.96,13,12,0
"shirt, blouse",upperbody,18,0.8461380349245603,0.776537450053266,-0.06960058487129434,0.9274494581752353,0.8743181563913822,-0.053131301783853106,1.0,12,6,0
pocket,garment parts,19,0.4863456742849955,0.35962631592515104,-0.12671935835984435,0.5411552603013421,0.43617719254995646,-0.10497806775138567,0.6842105263157895,9,10,0
