model,box_threshold,text_threshold,detection_rate,mean_box_iou,mean_mask_iou
lora_r16,0.15,0.15,0.9600,0.8422,0.7549
lora_r16,0.15,0.2,0.9600,0.8422,0.7549
lora_r16,0.15,0.25,0.9600,0.8422,0.7549
lora_r16,0.15,0.3,0.9600,0.8422,0.7549
lora_r16,0.2,0.15,0.9450,0.8172,0.7393
lora_r16,0.2,0.2,0.9450,0.8172,0.7393
lora_r16,0.2,0.25,0.9450,0.8172,0.7393
lora_r16,0.2,0.3,0.9450,0.8172,0.7393
lora_r16,0.25,0.15,0.8750,0.7547,0.6944
lora_r16,0.25,0.2,0.8750,0.7547,0.6944
lora_r16,0.25,0.25,0.8750,0.7547,0.6944
lora_r16,0.25,0.3,0.8750,0.7547,0.6944
lora_r16,0.3,0.15,0.7500,0.6616,0.6141
lora_r16,0.3,0.2,0.7500,0.6616,0.6141
lora_r16,0.3,0.25,0.7500,0.6616,0.6141
lora_r16,0.3,0.3,0.7500,0.6616,0.6141
lora_r16,0.35,0.15,0.6150,0.5461,0.5182
lora_r16,0.35,0.2,0.6150,0.5461,0.5182
lora_r16,0.35,0.25,0.6150,0.5461,0.5182
lora_r16,0.35,0.3,0.6150,0.5461,0.5182
lora_r16,0.4,0.15,0.4950,0.4417,0.4193
lora_r16,0.4,0.2,0.4950,0.4417,0.4193
lora_r16,0.4,0.25,0.4950,0.4417,0.4193
lora_r16,0.4,0.3,0.4950,0.4417,0.4193
